"words","topics","probability","frequency","saliency","lift","phi","relevance"
"associates",3,4.20118696413546e-05,6,0.00143313470330758,0.0357024993311223,4.20118696413546e-05,-6.70504647623562
"atm",1,0.00238563781143447,105,0.0231843005609022,0.115957888825804,0.00238563781143447,-4.09640847268289
"atm",2,0.0708590178029449,105,0.0231843005609022,3.4442202707036,0.0708590178029449,-0.705182749200973
"atm",3,3.40366779656413e-11,105,0.0231843005609022,1.65440927395695e-09,3.40366779656413e-11,-22.1617021175315
"atm.",1,0.00355620077644908,15,0.0015860436264492,1.22231822588026,0.00355620077644908,-2.71915663039042
"atm.",2,0.00609042168758681,15,0.0015860436264492,2.09336702284486,0.00609042168758681,-2.1811320858171
"atm.",3,1.64331787528485e-17,15,0.0015860436264492,5.64832391685479e-15,1.64331787528485e-17,-35.7273234168616
"atms",1,0.00208919572841374,22,0.00362767319389026,0.48631855871703,0.00208919572841374,-3.44593375260276
"atms",2,0.0128535155810441,22,0.00362767319389026,2.99201414535073,0.0128535155810441,-1.62909556558003
"atms",3,2.59571251642443e-11,22,0.00362767319389026,6.0422446430605e-09,2.59571251642443e-11,-21.6495326177964
"ave",1,0.00391650642702723,7,0.00141363900568067,2.92954200820934,0.00391650642702723,-2.23385457026281
"ave",2,1.18535154643745e-05,7,0.00141363900568067,0.00886641504229622,1.18535154643745e-05,-8.03418540083624
"ave",3,2.572917301323e-15,7,0.00141363900568067,1.92453898858927e-12,2.572917301323e-15,-30.2850353332
"back",1,0.00464904419785208,11,0.0011260741108562,2.19841230820767,0.00464904419785208,-2.29167910380904
"back",2,0.00190656699492876,11,0.0011260741108562,0.901566035876876,0.00190656699492876,-3.18303651346106
"back",3,2.07010085429086e-09,11,0.0011260741108562,9.78896952497637e-07,2.07010085429086e-09,-16.9162539834255
"balance",1,2.00705933557463e-26,7,0.00131360648833662,1.47589589368478e-23,2.00705933557463e-26,-55.870366866031
"balance",2,1.49916290807667e-29,7,0.00131360648833662,1.10241303820817e-26,1.49916290807667e-29,-63.0698858876508
"balance",3,0.00357286974448832,7,0.00131360648833662,2.6273183313991,0.00357286974448832,-2.33421123798344
"banker",1,1.41291249166667e-07,27,0.00385974574065797,2.67418242573802e-05,1.41291249166667e-07,-13.150862123315
"banker",2,0.0143377248250657,27,0.00385974574065797,2.7136635834418,0.0143377248250657,-1.62328075899964
"banker",3,0.00337613929138579,27,0.00385974574065797,0.638993031282329,0.00337613929138579,-3.06944208706418
"bankers",1,1.75866984420993e-15,16,0.00342277629023876,5.60685558033174e-13,1.75866984420993e-15,-31.0919173955386
"bankers",2,0.0106190995602669,16,0.00342277629023876,3.38549943433692,0.0106190995602669,-1.66279980753616
"bankers",3,0.0004603423871723,16,0.00342277629023876,0.146762810022468,0.0004603423871723,-4.8012387790144
"banks",1,0.0222318966852652,54,0.00410126923601845,2.14543171089981,0.0222318966852652,-1.52144321885959
"banks",2,0.000948190385306672,54,0.00410126923601845,0.0915026616669876,0.000948190385306672,-4.67617123267853
"banks",3,0.00664161460313737,54,0.00410126923601845,0.640931845936032,0.00664161460313737,-2.72961616711858
"beginning",1,4.52072597388758e-10,6,0.00150284678033533,3.84129643483076e-07,4.52072597388758e-10,-18.1447320317007
"beginning",2,0.00422004218454516,6,0.00150284678033533,3.58580305286424,0.00422004218454516,-2.09546385104579
"beginning",3,5.48593986631496e-22,6,0.00150284678033533,4.66144627475614e-19,5.48593986631496e-22,-45.5822373111118
"beneficiary",1,0.00336510732627747,6,0.00123443849103841,2.93680367777761,0.00336510732627747,-2.30848680800234
"beneficiary",2,1.16999306612301e-41,6,0.00123443849103841,1.02107885615802e-38,1.16999306612301e-41,-90.8631823768445
"beneficiary",3,7.22451390357818e-24,6,0.00123443849103841,6.30499325727432e-21,7.22451390357818e-24,-49.8987536663937
"bill",1,2.14996645136253e-08,10,0.00187647201701248,1.10668816069443e-05,2.14996645136253e-08,-14.5333910272681
"bill",2,2.31739585633112e-20,10,0.00187647201701248,1.19287189631199e-17,2.31739585633112e-20,-42.0894203016859
"bill",3,0.00510408006893342,10,0.00187647201701248,2.62730843076422,0.00510408006893342,-2.15587756689191
"bit",1,1.64892898622165e-09,16,0.00400502868531306,5.25415998523915e-07,1.64892898622165e-09,-17.3411076845147
"bit",2,0.0112522759245492,16,0.00400502868531306,3.58543384218786,0.0112522759245492,-1.60515269185319
"bit",3,8.48586564417738e-07,16,0.00400502868531306,0.000270394274588603,8.48586564417738e-07,-11.0976615624133
"book",1,5.00318990477609e-13,6,0.00150284895686343,4.25124981850221e-10,5.00318990477609e-13,-24.9510842171253
"book",2,0.00422004275083366,6,0.00150284895686343,3.58580352135485,0.00422004275083366,-2.09546371862492
"book",3,7.06430642623429e-15,6,0.00150284895686343,6.00259674007248e-12,7.06430642623429e-15,-29.2112752521463
"boyfriend",1,0.000839627507039105,6,0.000481060241902633,0.723388695724908,0.000839627507039105,-3.70318039732721
"boyfriend",2,1.43445696612579e-07,6,0.000481060241902633,0.000123586941244758,1.43445696612579e-07,-12.3779374830331
"boyfriend",3,0.00229824172734357,6,0.000481060241902633,1.98007100966285,0.00229824172734357,-2.69623910362168
"branches",1,0.00276479250872534,18,0.00241254322301017,0.788787144496465,0.00276479250872534,-3.06402423112376
"branches",2,0.00918990373273044,18,0.00241254322301017,2.62185241773525,0.00918990373273044,-1.86288436013697
"branches",3,2.18571980080361e-06,18,0.00241254322301017,0.00062357940963176,2.18571980080361e-06,-10.2067998976287
"building",1,4.91096973364702e-10,17,0.00425806955471167,1.4727845715237e-07,4.91096973364702e-10,-18.5826601407794
"building",2,0.0119567871799695,17,0.00425806955471167,3.58580334205682,0.0119567871799695,-1.57473683189021
"building",3,1.76294920786906e-20,17,0.00425806955471167,5.28702992392763e-18,1.76294920786906e-20,-42.632994401843
"business",1,0.0131864567616807,68,0.00103115741583201,1.00036080837904,0.0131864567616807,-2.16410211784536
"business",2,0.0183139380968941,68,0.00103115741583201,1.38934561803224,0.0183139380968941,-1.83563000325112
"business",3,0.00941705535256536,68,0.00103115741583201,0.714403670015276,0.00941705535256536,-2.50076997338231
"california",1,0.000201253222386814,9,0.000490582937879511,0.114852700939943,0.000201253222386814,-5.33752573147431
"california",2,0.00188354500392221,9,0.000490582937879511,1.07491561365715,0.00188354500392221,-3.10117873888469
"california",3,0.00304365921122017,9,0.000490582937879511,1.73697830525906,0.00304365921122017,-2.62127390105458
"call",1,1.67003051002857e-17,7,0.00131360648833635,1.22806093890283e-14,1.67003051002857e-17,-35.330929767034
"call",2,3.85869504033189e-18,7,0.00131360648833635,2.83750064787056e-15,3.85869504033189e-18,-36.7960277019036
"call",3,0.0035728697444883,7,0.00131360648833635,2.62731833139908,0.0035728697444883,-2.33421123798345
"car",1,0.00763469557798681,20,0.00189578995923475,1.98174826842903,0.00763469557798681,-2.09553639701883
"car",2,0.00449245132509594,20,0.00189578995923475,1.16611167315962,0.00449245132509594,-2.6258409580734
"car",3,1.01433103222119e-16,20,0.00189578995923475,2.63291279421024e-14,1.01433103222119e-16,-34.0476163582611
