"","counts","tfidf","positivity","negativity","sentiment","words"
"28",5,0.218212533933361,0.00175131348511384,0.00700525394045534,0.25,"according"
"29",1,0.19907275946441,0,0.00175131348511384,0,"accordingly"
"30",2,0.130427909790692,0.00175131348511384,0.00175131348511384,1,"accosted"
"31",81,3.57585425014257,0.0332749562171629,0.108581436077058,0.306451612903226,"account"
"32",1,0.190778061153393,0,0.00175131348511384,0,"accountbut"
"33",4,0.558053314141329,0.00175131348511384,0.00525394045534151,0.333333333333333,"accounts"
"34",1,0.183146938707257,0,0.00175131348511384,0,"acct"
"35",1,0.254370748204523,0,0.00175131348511384,0,"accused"
"36",1,0.19907275946441,0,0.00175131348511384,0,"accustomed"
"37",1,0.0497681898661024,0,0.00175131348511384,0,"ackbar"
"38",5,0.625769299087782,0,0.00875656742556918,0,"acknowledge"
"39",3,0.433468082086592,0,0.00525394045534151,0,"acknowledged"
"40",1,0.0668419484333054,0,0.00175131348511384,0,"acknowledging"
"41",1,0.138747680838831,0,0.00175131348511384,0,"acquire"
"42",1,0.436064139779183,0,0.00175131348511384,0,"acr"
"43",13,0.901775260858836,0.00525394045534151,0.0175131348511384,0.3,"across"
"44",5,0.412550307422814,0,0.00875656742556918,0,"act"
"45",3,0.561242221146116,0,0.00525394045534151,0,"acted"
"46",3,0.175247760051219,0.00175131348511384,0.00350262697022767,0.5,"acting"
"47",4,0.554552877614873,0.00350262697022767,0.00350262697022767,1,"action"
"48",9,1.35084399760922,0.00700525394045534,0.00875656742556918,0.8,"activate"
"49",9,0.83391577147071,0.00525394045534151,0.010507880910683,0.5,"activated"
"50",1,0.125443108703601,0,0.00175131348511384,0,"activates"
"51",5,0.518658539576177,0.00525394045534151,0.00350262697022767,1.5,"activating"
"52",7,0.613404379976762,0,0.0122591943957968,0,"activation"
"53",1,0.0897779111310083,0,0.00175131348511384,0,"active"
"54",3,0.167350278534318,0,0.00525394045534151,0,"acts"
"55",10,0.845618685922342,0.00175131348511384,0.0157618213660245,0.111111111111111,"actual"
"56",1,0.120491407044248,0,0.00175131348511384,0,"actuality"
"57",48,2.89552606748146,0.0262697022767075,0.0577933450087566,0.454545454545455,"actually"
"58",2,0.0921448077356031,0,0.00350262697022767,0,"adamant"
"59",2,0.257953434798953,0,0.00350262697022767,0,"adapter"
"60",23,1.6101370425997,0.0122591943957968,0.0280210157618214,0.4375,"add"
"61",13,1.11999553488832,0.00350262697022767,0.0192644483362522,0.181818181818182,"added"
"62",7,0.199692923824112,0,0.0122591943957968,0,"addict"
"63",1,0.0427913408194525,0,0.00175131348511384,0,"addicted"
"64",5,0.420250067426817,0,0.00875656742556918,0,"adding"
"65",3,0.134131389789561,0,0.00525394045534151,0,"addition"
"66",13,0.983678787217761,0.00875656742556918,0.0140105078809107,0.625,"additional"
"67",1,0.0715417729325222,0,0.00175131348511384,0,"additude"
"68",1,0.0715417729325222,0,0.00175131348511384,0,"additudes"
"69",1,0.212961556636345,0.00175131348511384,0,Inf,"addons"
"70",8,1.58466617990026,0,0.0140105078809107,0,"address"
"71",1,0.0872128279558366,0.00175131348511384,0,Inf,"addressed"
"72",1,0.0418143695678669,0,0.00175131348511384,0,"adds"
"73",1,0.223349925252752,0.00175131348511384,0,Inf,"adequate"
"74",2,0.347278356849686,0,0.00350262697022767,0,"adjusted"
"75",1,0.0897779111310083,0,0.00175131348511384,0,"adjusting"
"76",3,0.158393264478294,0.00175131348511384,0.00350262697022767,0.5,"admit"
"77",1,0.0678321995212063,0,0.00175131348511384,0,"admits"
"78",1,0.0529326412448719,0,0.00175131348511384,0,"admitted"
"79",5,0.260673521703397,0,0.00875656742556918,0,"advantage"
"80",1,0.0446699850505505,0,0.00175131348511384,0,"advantaged"
"81",2,0.217436921706616,0,0.00350262697022767,0,"advertised"
"82",1,0.247495863117915,0,0.00175131348511384,0,"advertisement"
"83",1,0.0984660960791704,0,0.00175131348511384,0,"advertises"
"84",7,0.462004465270039,0.00350262697022767,0.00875656742556918,0.4,"advice"
"85",3,0.353916639523679,0,0.00525394045534151,0,"advise"
"86",4,0.56835136245946,0.00175131348511384,0.00525394045534151,0.333333333333333,"advised"
"87",2,0.209162741932381,0,0.00350262697022767,0,"advocacy"
"88",1,0.0418143695678669,0,0.00175131348511384,0,"afar"
"89",1,0.277495361677662,0,0.00175131348511384,0,"affairs"
"90",1,0.0715417729325222,0,0.00175131348511384,0,"affect"
"91",1,0.0285275605463017,0,0.00175131348511384,0,"affecting"
"92",1,0.0944056385088953,0,0.00175131348511384,0,"affirm"
"93",1,0.0944056385088953,0,0.00175131348511384,0,"affirmed"
"94",6,0.554178177783881,0.00175131348511384,0.00875656742556918,0.2,"afford"
"95",3,0.213743697648202,0,0.00525394045534151,0,"affordable"
"96",1,0.218032069889592,0,0.00175131348511384,0,"aforementioned"
"97",2,0.201260372205777,0,0.00350262697022767,0,"african"
"98",8,0.836189201875981,0.00700525394045534,0.00700525394045534,1,"afternoon"
"99",1,0.0614587042641802,0,0.00175131348511384,0,"afterward"
"100",1,0.0769524952551499,0,0.00175131348511384,0,"againand"
"101",1,0.704411302720219,0,0.00175131348511384,0,"againavoid"
"102",1,0.115915783991935,0.00175131348511384,0,Inf,"againwhich"
"103",2,0.241492926130483,0.00175131348511384,0.00175131348511384,1,"age"
"104",1,0.150120441563325,0,0.00175131348511384,0,"agency"
"105",1,0.0446699850505505,0,0.00175131348511384,0,"agenda"
"106",10,1.0979753773243,0.00350262697022767,0.0140105078809107,0.25,"agent"
"107",1,0.0640373911563835,0,0.00175131348511384,0,"agentforget"
"108",6,0.56231566846722,0.00350262697022767,0.00700525394045534,0.5,"agents"
"109",2,0.186574796702256,0.00175131348511384,0.00175131348511384,1,"ages"
"110",2,0.224288146824185,0.00175131348511384,0.00175131348511384,1,"aggressive"
"111",1,0.186884631333936,0,0.00175131348511384,0,"agitated"
"112",22,1.47535202685865,0.0227670753064799,0.0157618213660245,1.44444444444444,"ago"
"113",1,0.610489795690856,0,0.00175131348511384,0,"agothe"
"114",3,0.264108660727565,0,0.00525394045534151,0,"agree"
