"From","To","Co-occurance"
"Men","Customer.Service",2
"Bedding","Customer.Service",0
"Wedding","Customer.Service",1
"Mattress","Customer.Service",0
"Bathroom","Customer.Service",0
"Lamps","Customer.Service",0
"Watches","Customer.Service",1
"Furniture","Customer.Service",4
"Management","Associate",0
"Jewelry","Associate",4
"Macy.s.Card","Associate",2
"Returns","Associate",0
"Location","Associate",1
"Shoes","Associate",3
"Customer.Service","Associate",2
"Associate","Associate",0
"Purse","Associate",0
"Delivery","Associate",0
"Website","Associate",0
"Display","Associate",0
"Fashion","Associate",0
"Dillard.s","Associate",0
"Kohl.s","Associate",0
"Register","Associate",2
"Time","Associate",7
"Deal","Associate",7
"Quality","Associate",0
"Clothing","Associate",4
"Clean","Associate",0
"Cosmetics","Associate",2
"Price","Associate",0
"Women","Associate",0
"Men","Associate",0
"Bedding","Associate",0
"Wedding","Associate",0
"Mattress","Associate",0
"Bathroom","Associate",0
"Lamps","Associate",0
"Watches","Associate",1
"Furniture","Associate",1
"Management","Purse",0
"Jewelry","Purse",0
"Macy.s.Card","Purse",0
"Returns","Purse",0
"Location","Purse",1
"Shoes","Purse",0
"Customer.Service","Purse",0
"Associate","Purse",0
"Purse","Purse",0
"Delivery","Purse",0
"Website","Purse",0
"Display","Purse",0
"Fashion","Purse",0
"Dillard.s","Purse",0
"Kohl.s","Purse",0
"Register","Purse",0
"Time","Purse",0
"Deal","Purse",2
"Quality","Purse",0
"Clothing","Purse",0
"Clean","Purse",1
"Cosmetics","Purse",0
"Price","Purse",0
"Women","Purse",0
"Men","Purse",0
"Bedding","Purse",0
"Wedding","Purse",0
"Mattress","Purse",0
"Bathroom","Purse",0
"Lamps","Purse",0
"Watches","Purse",0
"Furniture","Purse",0
"Management","Delivery",1
"Jewelry","Delivery",0
"Macy.s.Card","Delivery",1
"Returns","Delivery",0
"Location","Delivery",0
"Shoes","Delivery",0
"Customer.Service","Delivery",3
"Associate","Delivery",0
"Purse","Delivery",0
"Delivery","Delivery",0
"Website","Delivery",0
"Display","Delivery",0
"Fashion","Delivery",0
"Dillard.s","Delivery",0
"Kohl.s","Delivery",0
"Register","Delivery",0
"Time","Delivery",0
"Deal","Delivery",0
"Quality","Delivery",0
"Clothing","Delivery",0
"Clean","Delivery",0
"Cosmetics","Delivery",0
"Price","Delivery",0
"Women","Delivery",0
"Men","Delivery",1
"Bedding","Delivery",0
"Wedding","Delivery",0
"Mattress","Delivery",0
"Bathroom","Delivery",0
"Lamps","Delivery",0
"Watches","Delivery",0
"Furniture","Delivery",3
"Management","Website",0
"Jewelry","Website",1
"Macy.s.Card","Website",0
"Returns","Website",1
"Location","Website",0
"Shoes","Website",1
"Customer.Service","Website",1
"Associate","Website",0
"Purse","Website",0
"Delivery","Website",0
"Website","Website",0
"Display","Website",0
"Fashion","Website",0
"Dillard.s","Website",0
"Kohl.s","Website",0
"Register","Website",0
"Time","Website",1
"Deal","Website",1
"Quality","Website",0
"Clothing","Website",0
"Clean","Website",0
"Cosmetics","Website",0
"Price","Website",0
"Women","Website",0
"Men","Website",0
"Bedding","Website",0
"Wedding","Website",0
"Mattress","Website",0
"Bathroom","Website",0
"Lamps","Website",0
"Watches","Website",0
"Furniture","Website",1
"Management","Display",0
"Jewelry","Display",0
"Macy.s.Card","Display",0
"Returns","Display",0
"Location","Display",0
"Shoes","Display",0
"Customer.Service","Display",0
"Associate","Display",0
"Purse","Display",0
"Delivery","Display",0
"Website","Display",0
"Display","Display",0
"Fashion","Display",0
"Dillard.s","Display",0
"Kohl.s","Display",0
"Register","Display",0
"Time","Display",0
"Deal","Display",1
"Quality","Display",0
"Clothing","Display",0
"Clean","Display",0
"Cosmetics","Display",0
"Price","Display",0
"Women","Display",0
"Men","Display",0
"Bedding","Display",0
"Wedding","Display",0
"Mattress","Display",0
"Bathroom","Display",0
"Lamps","Display",0
"Watches","Display",0
"Furniture","Display",0
"Management","Fashion",0
"Jewelry","Fashion",0
"Macy.s.Card","Fashion",0
"Returns","Fashion",0
"Location","Fashion",1
"Shoes","Fashion",0
"Customer.Service","Fashion",1
"Associate","Fashion",0
"Purse","Fashion",0
"Delivery","Fashion",0
"Website","Fashion",0
"Display","Fashion",0
"Fashion","Fashion",0
"Dillard.s","Fashion",1
"Kohl.s","Fashion",0
"Register","Fashion",0
"Time","Fashion",0
"Deal","Fashion",4
"Quality","Fashion",0
"Clothing","Fashion",1
"Clean","Fashion",0
"Cosmetics","Fashion",0
"Price","Fashion",0
"Women","Fashion",1
"Men","Fashion",0
"Bedding","Fashion",0
"Wedding","Fashion",1
"Mattress","Fashion",0
"Bathroom","Fashion",0
"Lamps","Fashion",0
"Watches","Fashion",0
"Furniture","Fashion",0
"Management","Dillard.s",0
"Jewelry","Dillard.s",0
"Macy.s.Card","Dillard.s",0
"Returns","Dillard.s",0
"Location","Dillard.s",0
"Shoes","Dillard.s",0
"Customer.Service","Dillard.s",0
